KO,NC_128,NC_134,NC_136,NC_137,NC_138,NC_139,NC_140,NC_143,NC_144,NC_145,NC_146,NC_147,NC_148,NC_149,NC_150,NC_151,NC_152,NC_153,NC_154,NC_155,NC_156,NC_157,NC_158,NC_159,NC_160,NC_161,NC_162,NC_163,NC_164,NC_165,NC_166,NC_167,NC_168,NC_169,NC_173,NC_174,NC_176,NC_177,NC_180,NC_181,NC_182,NC_183,NC_184,NC_185,NC_186,NC_199,NC_200,NC_201,NC_202,NC_204,NC_205,NC_206,NC_207,NC_209,NC_210,NC_214,NC_218,NC_219,NC_220,NC_224,NC_225,NC_241,SLE_1,SLE_100,SLE_106,SLE_11,SLE_113,SLE_117,SLE_119,SLE_12,SLE_120,SLE_121,SLE_122,SLE_125,SLE_129,SLE_131,SLE_132,SLE_170,SLE_171,SLE_172,SLE_175,SLE_178,SLE_179,SLE_18,SLE_189,SLE_19,SLE_191,SLE_192,SLE_193,SLE_195,SLE_196,SLE_197,SLE_198,SLE_2,SLE_212,SLE_213,SLE_215,SLE_216,SLE_226,SLE_227,SLE_228,SLE_229,SLE_23,SLE_232,SLE_234,SLE_235,SLE_24,SLE_243,SLE_244,SLE_247,SLE_248,SLE_249,SLE_250,SLE_251,SLE_252,SLE_253,SLE_254,SLE_255,SLE_256,SLE_257,SLE_26,SLE_266,SLE_267,SLE_269,SLE_27,SLE_271,SLE_272,SLE_273,SLE_276,SLE_277,SLE_278,SLE_279,SLE_280,SLE_281,SLE_37,SLE_39,SLE_40,SLE_45,SLE_48,SLE_50,SLE_52,SLE_53,SLE_54,SLE_56,SLE_59,SLE_6,SLE_62,SLE_63,SLE_69,SLE_7,SLE_71,SLE_72,SLE_75,SLE_78,SLE_80,SLE_82,SLE_83,SLE_84,SLE_85,SLE_87,SLE_89,SLE_91,SLE_92,SLE_95,SLE_99
K00001,0.000188209,0.000328318,0,0.000331502,0.000379092,0.000188426,0,0.000272461,0.000479525,0,0,0.000516456,0.000342798,0.000443111,0.000159625,0.001061002,0.000385315,0.000511159,0.000194329,0,0.000297257,0.000279481,0.000141633,0.000195227,0.000487877,0.000130152,0.000395946,0.000168544,0,0.000118319,0.000228893,0,0.000189927,0,0.000186396,0.000342845,0.000363276,0.000319496,0.000315997,0,0,0,0.000151718,0.000240545,0.000110937,0.000214181,0,0.000238736,0,0.000483686,0,0.000415958,0.000301391,0.000136167,0.00025749,0,0.000176484,0.000110458,0.00026465,0.000289512,0.000174882,0.000193806,0.000494112,0.000378381,0.001517723,0.000262788,0.000396808,0.000163463,0.000469552,0.000219048,0.000554495,0.000340035,0.0004215,0.000457647,0.000288046,0.000423306,0,0.000315354,0,0.000253221,0.00040593,0.000258761,0.000415992,0.000187653,0.000266687,0.000235937,0,0,0.000268774,0.000404977,0.000130313,0.000251776,0.000444928,0,0.000401234,0.000530208,0,0.000465352,0.000323529,0,0.000229804,0.000312924,0.00024945,0.000241782,0.000393078,9.60E-05,0.000485189,0,0.000295707,0.000297833,0.000232273,0,0.000278271,0.000594642,0.000271117,0,0.000289587,0.000155735,0.000309309,0.000279482,0.00056351,0.000289448,0,0.000178819,0,0.000204043,0.000392591,0.000356698,0.000571209,0,0,0.000381911,0.000605072,0.000418586,0.000302251,0.000174611,0.000267465,0.000152724,0.000379185,0.000118605,0.000480988,0.000239384,0.000146739,0.000132278,8.03E-05,0.000274552,0.00016023,0.000220689,0,0,0,0.000383119,0.00035592,0,0,0.000193209,0,0.000341159,0.000281932,0.000284106,0.00026559,0.000148424,0,0.000298868,0.001515269
K00003,6.72E-05,0,0,0,0,7.38E-05,0,0,0,0,0.000135243,0,0,0,0.00011903,0,0,0,0,0,0.000112026,0.000119382,0,0,0,0,6.87E-05,0,0.000161791,8.83E-05,7.07E-05,0,0.000175342,0,0,0,0,5.93E-05,0,0,0.000100955,0,0,0,8.22E-05,0,0,7.90E-05,0.000191946,0,0,0.0001981,0,0,0.00010049,0,0,0,0,0,6.73E-05,0,0,0,0,0,0,0.00017809,0,0,0,0.00011598,0.000185934,9.51E-05,0.000223117,7.82E-05,0,0.000117899,0,0,0.000199288,0,0,7.55E-05,0,0.000102834,0.000158313,0,8.64E-05,0.000161046,0,9.05E-05,0,0,0,0,0,0,0,0,0,0.000101239,0,0,0,7.25E-05,0,0,9.45E-05,0.000102163,0,0,0.000110123,0,0,9.54E-05,0,0,0,8.45E-05,0,0,0,0,0,0,0,0,0.000120555,0,0,0,0,0,0.00016051,0.000118279,0.0001053,0,0,0,0,8.22E-05,9.69E-05,0.000247588,0.000132039,0.000114505,0.00012943,8.88E-05,0,0,0,0,0,0.000114624,0,0,0,0.000163534,0.000111061,0.000197091,0,0,0,0,0
K00005,0.000484106,0.000627652,0.000126907,0.000733921,0.000786045,0.000426167,0.000597714,0.000257457,0.000270584,0.000209087,0.000599144,0,0.000397277,0.000135852,0.000604251,0.000648906,0,0.000826154,0.000399899,0.000572518,0.000123172,0.000454277,0.000281219,0.000192714,0.000287728,0.000135052,0.000450068,0.00026214,0.000366854,0.000101785,0.000624989,0.000313505,0.000645396,0.000319209,0.000474177,0.000446686,0.000292996,0.000337293,0.000531278,0.000712533,0.000244972,0.000553454,0.000246005,0.000537442,0.000202849,0.000444117,0.000260885,0.000490616,0.001320577,0.00031497,0.000455064,0.000480753,0.000469022,0.000234268,0.000472716,0,0.000395687,0.000247077,0.000476895,0.000460737,0.000422361,0,0.000314074,0.000321633,0.0005881,0.000332334,0.000261325,0,0.000458142,0.000244347,0,0.000738965,0.000912351,0.00030418,0.000819164,0.000305327,0.000775379,0.000597709,0.000295038,0.000493467,0.000522449,0.000859763,0.000142602,0.000322872,0.000374396,0.000614597,0.000779506,0.000215224,0.000615371,0.000386836,0.000348955,0.000314126,0.000167756,0.001019215,0.000481908,0.000369929,0.00055526,0.000439863,0.000550526,0.000423543,0.000469804,0.000334519,0.000299855,0.000953079,0.000839631,0.000321843,0.000492744,0.000484923,0.000720143,0.000225915,0,0.000175509,0.000507743,0,0.00039383,0.000223567,0.00082199,0.000347862,0.000565071,0.000607788,0.000266901,0.000827838,0.000406258,0.000483471,0.000456013,0.000465296,0.001037119,0.00032504,0.000746137,0,0.000294779,9.01E-05,0.000468559,0.000266474,0.000541886,0.000485607,0.000411195,0.00028934,0.000623411,0.000664897,0.000616138,0.000436283,0.000793518,0.000770308,0.000535349,0.000426608,0.00038878,0.000235646,0,0.000275039,0,0.000185894,0.000845091,0.000406783,0.00125685,0.000519192,0.000942513,0.000344151,0.000696411,0.000614335,0.00065568,0.000501434,0.000240545,0.00030594,0
K00008,0.000485374,0.000378555,0.000299748,0.000405593,0.000316824,0.000311747,0.000374885,0.000344211,0.00055185,0.000228036,0.000749215,0.000259901,0.000285191,0.000480127,0.000750176,0.000341591,0.000491055,0.000858034,0.000366182,0.000286435,0.000385343,0,0.000368466,0.000166625,0.000194565,0.000526975,0.000321204,0.000360086,0.000179621,9.19E-05,0.000261368,0.000161045,0.000749778,0,0.001132169,0.000630611,0.000397441,0.000326745,0.000597577,0.000221435,0.000770323,0.000376334,0.000775778,0.000206089,0.000435022,0.000220521,0.00024297,0.000674796,0.000859062,0.000223125,0.000494113,0.000758064,0.000153784,0.001049042,0.000561588,0.000223074,0.000414151,0.000646731,0.000571218,0.000492805,0.000538953,0.000334587,0.000341964,0.00031937,0,0.000595795,0.000433038,0.000361312,0.000743659,0.000299748,0,0.00094168,0.001518174,0.000319234,0.000798827,0.000451769,0,0.00073818,0.001061718,0.000610305,0.000101556,0.000783016,0.000182507,0.000258154,0.000306203,0.000665796,0.000894692,0.000159347,0.000655301,0.000397143,0.000233761,0.000565384,0.000571196,0.000831852,0.000909141,0.000630504,0.000443111,0.000132848,0.000673237,0.000220314,0.000604288,0.000349515,0.000798419,0.000344786,0.000336828,0.000234804,0.000132895,0.000573122,0.000459332,0.000944429,0,0,0.000253547,0,0.000876823,0.000660269,0.001191695,0.000437318,0.000300785,0.000642366,0.000464805,0.000458376,0.000405818,0.00052469,0.000152904,0.000776382,0.000882639,0,0.000342987,0.00299061,0,0.000112873,0.000324862,0.000167793,0.000590084,0.000693219,0.000917348,0.000520274,0.000929206,0.00062315,0.000831404,0.00010894,0.000123044,0.001116178,0.000364628,0.000722528,0.000779654,0.000819566,0.00080136,0.00036895,0,0.000528589,0.000616751,0.000621811,0,0.000601044,0.000410621,0.000539429,0.000464956,0,0.000251369,0.000571109,0.000425684,0.00012356,0.0006633
K00009,7.41E-05,0,0.00015543,0.000243491,0.000101563,8.09E-05,0.000138538,0,0.000128371,0.000137178,0,0.000415284,0,0,0.000306686,0,0,0.000198536,0.000133808,0.000598502,0.000107193,0.000155712,0,0.00039115,0,0,6.39E-05,0,0.000224057,0.000104497,4.92E-05,0,0.000190683,0.000157883,0.000324018,0.000165275,0.00031533,5.68E-05,0,0.000222821,0.000395522,0,0,0,0.000100308,0.000232272,0.000282983,0.000212256,0.000491539,7.76E-05,0,9.40E-05,7.51E-05,0.000259345,0.000264001,0,8.81E-05,0,0.000251477,0.000104315,7.93E-05,0.000106964,0.000391654,0.000259426,0,0.000111905,0.000303737,0.000186689,0.000333987,9.74E-05,0.000188576,0,0,0.000225285,9.81E-05,0.000101158,0,0.000271038,0.000292043,0.000100757,0.00013291,0,0.000206238,9.27E-05,0.000313407,0,0.000323132,0.000590744,0.000200268,0.000195373,0.000256958,0.000133825,0,0.000221027,0.000185178,0,0,0.000141072,0.000289635,0.000167266,0.000229162,0,0.000111644,0,0.000167775,0.000115215,0.000189797,0.000272962,0.000114592,0.000125067,0.000242773,0,0.000133672,0.000240644,0.000138,0.000112385,7.79E-05,0,0.000196933,0,0,0,0,0.000179459,0.000176628,0.000160171,0.000311141,0,0.000244334,0,0,0.000111096,0.000136221,0.000394342,9.05E-05,0.000137672,0.000121542,0.000143885,0.000168956,0.000105301,0.000213979,0.000136331,0.000129755,0.000403968,0.000155096,0.000146218,0.000327757,0.000253311,0,0,0,0.000104742,0.000275798,0,0,0.000211164,0,0.000125571,0,0.000118841,0,0.000194121,0,0.000125724,0
K00010,0.000472008,0.00108284,0.000312631,0,0.000403783,0.000411613,0.000453421,0.000276056,0.000352066,0.000204701,0.000439512,0.000713576,0.000535632,0.000107544,0.000257111,0,0.000182244,0.000461716,0.000387181,0.000564471,0.000141463,0.000119441,0.000281504,0.000222206,0.000221861,0.000389039,0.000412879,0.000278829,0.00053131,0.000382569,0.000440725,0.000160465,0.000870033,0.000192373,0.000272978,0.000491342,0.000200445,0.000301926,0.000768817,0.000488378,0.000787353,0.000362832,0.000382436,0.000309887,0.000113216,0.000688574,0.000792839,0.000406916,0.001267698,0.000215849,0.000161258,0.000338538,0.000168353,0.000610758,0.00032096,0,0.00067102,0.000261976,0.000131817,0.00025981,0.000399737,0.000766511,0.000593831,0.000185447,0,0.000532874,0.000263641,0,0.000155569,0.000245722,0.00012007,0.000868492,0.000162211,0.000493796,0.000455893,0.000265369,0,0.000240861,0.000263277,0.000383774,0.000551227,0.000705845,0.000174434,0.000423439,0.000150451,0.000106204,0.000171111,0.000410382,0.000392731,0.001265083,0.000388103,0.000506346,0.000403249,0.000168495,0.000976693,0.000188796,0.00153508,0.000512045,0.00027002,0.000224364,0.000381068,0.000353486,0.000354898,0,0.000380046,0.000264924,0.000152474,0.000742728,0.000590229,0.000518774,0.000226948,0.001032619,0.000126943,0.000581059,0.000352784,0.000217877,0.000367742,0.000514239,0.000228216,0.000435531,0,0.000541481,0.000416762,0.000345559,0.000253249,0.00078011,0.000436514,0.000609018,0.000427443,0,0,0,0,0.000388474,0.000696492,0.000567545,0.00039338,0,0.000297374,0.00028273,0.000413994,0.000451765,0,0.000511973,0.000623696,0.000195417,0.000388178,0.000612801,0,0.000306182,0,0,0.000508309,0.00109265,0,0.00015517,0.000642004,0.000286564,0.000218589,0.000728784,0.000128683,0.000494626,0.000195565,0.000116797,0
K00012,0.000372454,0.000319994,0.000495249,0.000412522,0.000365772,0.000325583,0.00094066,0.000124769,0.000568101,0.00045862,0.000119333,0.000249266,0.000280372,0.000502476,0.000412101,0.000337874,0.00016742,0.000218702,0.001122012,0.000303074,0.000552038,0.000508329,0.000361664,0.000611075,0.000230473,0.000528421,0.000317192,0.000264268,0.000529287,0.000319678,0.000505287,0.000317301,0.000316683,0.000358581,0.000529389,0.000330483,0.000204915,0.000483744,0.00017501,0.001226863,0.000717999,0.000475073,0.000650144,0.000410003,0.000367406,0.000436921,0.000569107,0.000201714,0.000405246,0.0003429,0.000656893,0.000475112,0.000259209,0.000260387,0.00022922,0.000666937,0.000329215,0.00039709,0.000250801,0.000252046,0.000335605,0.000736957,0.000371619,0.000598133,0,0.000421783,0.00045774,0.00017677,0.000257563,0.000219998,0,0.00059237,0.000563193,0.000436777,0.000307615,0.000368131,0.000666662,0.000159216,0.00026378,0.00026006,0.000500862,0.000638341,0.00019729,0.00062941,0.000279789,0.000437246,0.00031308,0.000420403,0.00043491,0.000347661,0.000232728,0.000210844,0.00020618,0.000332495,0.000193639,0.000911135,0,0.000262004,0.000285193,0.000777518,0.000295188,0.000272793,0.000213154,0.000581079,0.000379993,0.000789767,0.000320142,0,0.000765095,0.000496004,0.000185423,0,0.000544716,0,0.000352353,0.000622212,0.000138998,0.000297472,0.000294332,0.000364001,0.000994744,0.000353349,0,0.000184859,0.000468911,0.000635765,0.000492506,0.000414346,0.000477982,0,0.000270039,0.000210454,0.000899947,0.000168469,0.000519652,0.000332763,0.000352031,0.000900713,0.000802943,0.000603847,0.000125834,0.00036817,0.000800885,0.000754137,0.000560887,0.000403358,0.000820465,0.000578819,0,0.000344616,0,0.000537677,0.000604917,0.000233576,0,0.000553803,0.000743478,0.000665884,0.000125572,0.000347673,0.000224023,0.000140607,0.000463343,0.000636723,0.000687673
K00013,0.000443266,0.000369961,0.000398087,0.000249518,0.000375024,0.000370935,0.000235475,0.000409104,0.000334129,0.000204901,0.000936698,0.000226951,0.00016572,0.00040487,0.000291217,0.000303641,0,0.000172518,0.000205792,0,0.000190518,0.000358089,0.000234597,0,0.000214818,0.000269352,0.00030599,0.000229056,0.000632321,0.000658209,0.000450041,0.000368841,0.000515564,0.000598973,0.000260214,0.000128606,0.000477691,0.000397979,0.000144926,0.000181149,0.000301074,0.000192383,0.000350677,0.000342518,0.000506693,0.000509365,0,0.000482898,0.000486284,0.000568848,0.000427734,0.000531497,0.000171586,0.000571294,0.000299362,0.000178115,0.000449256,0.000333752,0.000485201,9.54E-05,0.000370717,0.000385206,0.000288915,0.000302107,0.000557321,0.00065761,0.000340389,0.000630723,0.000360635,0.000287843,0.000346847,0.000355115,0.000433851,0.000673656,0.000466248,0.000503888,0.000296269,0.000308553,0.00026042,0.000292474,0.000454125,0.000452839,0.000333165,0.000387627,0.000137668,0.000506817,0.000202305,0.000525225,0.000477994,0.000646781,0.000583017,0.000362112,0.000491123,0.000515118,0.000351411,0.000224276,0,0.000523703,0.000353602,0.000198575,0.000325143,0.000132241,0.000566722,0.000202378,0.000298794,0.000412245,0.000128342,0.000429312,0.000500965,0.000232246,0.000173311,0.000322049,0.000504427,0.000564289,0.000478356,0.000440386,0.00042521,0.00040424,0.000589264,0.000306564,0.000357416,0.000305557,0,0.000400394,0.000496224,0.000368342,0.000445267,0.000207779,0.0005831,0.001276921,0.000621845,0.000136202,0.000549108,0.000107085,0.00052237,0.000329194,0.000398396,0.000320209,0.000458265,0.000414037,0.000383312,0.000417602,0.000486771,0.000610842,0.000409555,0.000576947,0.000204562,0.000382299,0,0.000230691,0,0.00056446,0.000344202,0.000603887,0,0.000287397,0.000428456,0.000415028,0.000399954,0.000535939,0.000709502,0.000521644,0.000654001,0.000209667,0.00049474
K00014,0.000221164,0.000246224,0.000452858,0.000600674,0.000215337,0.0002293,0.000531786,0.000244251,0.000124553,0,0.000538585,0.000152445,0.000119205,9.07E-05,0.000736464,0.000218525,0.000855649,0.000138124,0.000366103,0,0.00021731,0.000311465,9.58E-05,0,0.000809476,0.000242153,0.000315616,0.000423117,0.000839148,0.000283265,0.000390182,0.000480173,0.000538856,0.000459515,0.000192937,0.000418214,7.62E-05,0.000401498,0.000292934,0,0.000212814,0.000117447,0.000224291,7.86E-05,0.000547527,0.000141746,0,0.000161369,0.000379905,0.000302419,0.000478141,0.000173058,0.000278012,0.000375601,0.000814858,0.000514861,0.000323854,0.000622025,0.000294933,0.000475007,0.000217825,0.000453312,0,0.000279889,0.000216252,0.000273065,0.000286755,0.000172431,0.000524064,0.000279133,0,0.000361467,0.0001996,0.00035347,0.000452853,0.000431893,0,0.000452844,0.000204716,0.000154061,0.00020303,0.000173597,0.000310035,0.000274014,0.000244659,0.000153634,0.000559385,0.000135201,9.28E-05,0.000132991,0,0.00034908,0.000151955,0.000377139,0.000219219,0.000164578,0,0.000228255,0.000526791,0.000126337,7.00E-05,0.000427425,0.000474311,0.000392909,0.000316406,0.000165167,9.51E-05,0.000856313,0.000441574,0.00022156,0.000352024,0,0.000197484,0,0.000327482,0.000688751,0.000586486,0,0.000171323,0.000294515,0.000395312,0.00012258,0,9.53E-05,0.000270202,0.000575094,0.00028753,0.00025895,0.000297526,0,0.000498255,0.000242845,0.000168479,0.000119945,0.000337483,0.000442978,8.36E-05,0.000212905,0.000397739,0.000283946,0.000389067,0.000451628,0.000236858,0.000525958,0.000306167,0.000460795,0.000727839,0.000367345,0,0.000493837,0,0.000267177,0.000253668,0.000271103,0,0,0.000154204,0.000335554,0.00020548,0.000476711,0.000399967,0.000277308,0.000330794,0.000417162,0
K00016,0.000511747,0.000252971,0.000638473,0.000238354,0.000296793,0.000284437,0.000190764,0.000455696,0.00034124,0.000437227,0.00083439,0.000700204,9.10E-05,0.000167858,0.000398701,0,0.000456784,0.000351405,0.000267194,0.000206861,0.000419189,0.00062642,8.81E-05,0.000449383,0.000309272,0.000699403,0.00029314,0.000479322,0.001372576,0.000278024,0.0007155,0.000450885,0.000598437,0.00068542,0.000582629,0.000105409,0.000327552,0.000322281,0.000303555,0.000392147,0.000695432,0.000247592,0.000321968,0.000205011,5.63E-05,0.000725957,0.000877661,0.000651563,0.001435926,0.000270636,0.000243209,0.000527291,0.000351434,0.000867734,0.000893487,0.000253942,0.000298396,0.000296308,0.000574197,0.000186134,0.000537791,0.000348309,0.000348374,0.000718687,0.001360675,0.000185054,0.000523898,0.000222614,0.000450306,0.000176631,0.000751745,0.001122463,0.001245342,0.00052955,0.00083161,0.000564057,0.000893561,0.000462502,0.000858965,0.00047024,0.000317061,0.000841615,0.000575404,0.000386079,0.00048986,0.000686209,0.00051284,0.000563281,0.000717618,0.000146868,0.000169065,0.000488869,0.000881178,0.000637836,0.000604225,0.000407637,0.000674996,9.40E-05,0.000518612,9.62E-05,0.000348172,0.000176572,0.000519959,0.000127659,0.000314533,0.000398504,0.000738992,0.000779307,0.000779434,0.00021177,0.000831685,0.000363411,0.000761765,0.000711507,0.000404043,0.000713027,0.000400635,0,0.000300593,0.000855138,0.000775688,0.000405604,0,0.000532598,0.000348145,0.000497952,0.000418731,0.000164482,0.000934946,0.001170502,0.000715013,0.00042987,0.000120266,0.001029792,0.000626022,0.000480898,0.000443623,0.000480114,0.00030019,0.000325402,0.000450081,0.000471111,0.000170385,0.000863527,0.000563289,0.000581966,0.000738823,0.000567737,0.000186203,0.000200791,0,0.000265352,0.000413611,0.000782285,0.001802021,0.001031734,0.000955878,0.000149594,0.000502514,0.000878991,0.000843207,0.001501681,0.000531507,0.000195494,0.000908964
