species,NC_128,NC_134,NC_136,NC_137,NC_138,NC_139,NC_140,NC_143,NC_144,NC_145,NC_146,NC_147,NC_148,NC_149,NC_150,NC_151,NC_152,NC_153,NC_154,NC_155,NC_156,NC_157,NC_158,NC_159,NC_160,NC_161,NC_162,NC_163,NC_164,NC_165,NC_166,NC_167,NC_168,NC_169,NC_173,NC_174,NC_176,NC_177,NC_180,NC_181,NC_182,NC_183,NC_184,NC_185,NC_186,NC_199,NC_200,NC_201,NC_202,NC_204,NC_205,NC_206,NC_207,NC_209,NC_210,NC_214,NC_218,NC_219,NC_220,NC_224,NC_225,NC_241,SLE_1,SLE_100,SLE_106,SLE_11,SLE_113,SLE_117,SLE_119,SLE_12,SLE_120,SLE_121,SLE_122,SLE_125,SLE_129,SLE_131,SLE_132,SLE_170,SLE_171,SLE_172,SLE_175,SLE_178,SLE_179,SLE_18,SLE_189,SLE_19,SLE_191,SLE_192,SLE_193,SLE_195,SLE_196,SLE_197,SLE_198,SLE_2,SLE_212,SLE_213,SLE_215,SLE_216,SLE_226,SLE_227,SLE_228,SLE_229,SLE_23,SLE_232,SLE_234,SLE_235,SLE_24,SLE_243,SLE_244,SLE_247,SLE_248,SLE_249,SLE_250,SLE_251,SLE_252,SLE_253,SLE_254,SLE_255,SLE_256,SLE_257,SLE_26,SLE_266,SLE_267,SLE_269,SLE_27,SLE_271,SLE_272,SLE_273,SLE_276,SLE_277,SLE_278,SLE_279,SLE_280,SLE_281,SLE_37,SLE_39,SLE_40,SLE_45,SLE_48,SLE_50,SLE_52,SLE_53,SLE_54,SLE_56,SLE_59,SLE_6,SLE_62,SLE_63,SLE_69,SLE_7,SLE_71,SLE_72,SLE_75,SLE_78,SLE_80,SLE_82,SLE_83,SLE_84,SLE_85,SLE_87,SLE_89,SLE_91,SLE_92,SLE_95,SLE_99
[Eubacterium] rectale,0.00219734,0.000803028,0.003756789,0.000475533,0.001816207,0.000988224,0.000713573,0.002317838,0.005325334,0.00185203,0.000641789,0.001086708,0.004064274,0.001397251,0.002484257,0.000622052,0.000882267,0.003008994,0.000658899,0.001476328,0.002552557,0.000716871,0.004744732,0.003540292,0.003101343,0.002076842,0.001723907,0.000866551,0.001449462,0.002502148,0.000914543,0.000198781,0.004646832,0.003429775,0.005627986,0.00395153,0.003132108,0.000833955,0.000811389,0.000540233,0.003101921,0.00084272,0.000982381,0.005220984,0.002352057,0.001422061,0.001578289,0.000932245,0.00741106,0.002307511,0.003400631,0.001427471,0.002130191,0.001451364,0.000938264,0.004787222,0.001849169,0.001386555,0.003215334,0.001099096,0.003693874,0.001330545,0.001001641,0.000964084,0.0006146,0.005293349,0.001066544,0.001386602,0.006225001,0.003659341,0.001601961,0.002712605,0.002468459,0.000864072,0.003088001,0.000679169,0.006050048,0.00081873,0.001064242,0.004184471,0.000462966,0.004076415,0.000966177,0.000734749,0.00522845,0.001297768,0.000885628,0.004433556,0.000871415,0.000767452,0.004107905,0.000878279,0.000695913,0.002865803,0.001090048,0.00022352,0.000529876,0.002207272,0.001224853,0.000424911,0.004919714,0.000533254,0.001191149,0.000218504,0.005696077,0.000583019,0.000861471,0.000814181,0.000763779,0.004433403,0.000576138,0.000838676,0.000880728,0.000595679,0.0070945,0.002406175,0.000785284,0.002159196,0.002443654,0.001214193,0.000439614,0.000846704,0.001737597,0.003706246,0.006327281,0.004610751,0.000879244,0.000995889,0.000549596,0,0.002870627,0.00093112,0.000686451,0.001153463,0.000762916,0.004568054,0.001041249,0.005338981,0.00048681,0.003449839,0.005521888,0.005609142,0.002898031,0.003350271,0.003714926,0.004762848,0.003449225,0.000728253,0.000993404,0.001189555,0,0.000589174,0.000564595,0.003642562,0,0.005092744,0.001552172,0.000544502,0.002588456,0.003421085,0.004486827,0.00143302,0.001649949,0.000540265,0.001837775
[Eubacterium] siraeum,0.001327301,0.000127281,0,0,0.000101481,0,0,0.000137905,0.000154717,0.00026417,0.001297875,0.00023024,0,0,0,0,0.000196996,0.002502114,0.000492509,0.000407054,0.000262446,0.00011717,0.000263123,0,0.000243735,0.000177669,0,0,0.000179111,0.001369563,0.000219048,0,0.000177311,0.00021135,0.000145294,0,0.000106663,7.24E-05,0,0,0.000153598,0,0.000287176,0.000123699,0,0.00022614,0.000599798,0.000100116,0.000232835,0.000132568,0,0.000125387,0.000171377,0,0,0,7.93E-05,0.000148307,0,0.000113846,7.28E-05,0.000399371,0.000212265,0,0,9.93E-05,0.000148398,0,0,0.000101769,0,0.000167034,0,0.000121315,7.49E-05,0,0,0,0.000319577,0.000283037,0.000116982,0.00087547,0.000190986,0.000180284,0,0.000220114,0,0,0.000110243,0.000243633,0.000289524,0,0,0.000205692,0.000347911,0,0,0.002429223,0,0.000298065,8.40E-05,0,0.000216001,0.000205578,0.000181498,0,0,0,0,0,0,0,0,0,0,0,0.000128395,0.000177474,0.000225522,0,0,0.000129248,0,0.000375212,0,0,0,0.000155742,0.000125269,0,0,9.48E-05,0,0,0,6.86E-05,0.000108746,0.00029542,0,0.000254567,0,0,0,0.000118951,9.31E-05,7.31E-05,0.000179256,0.0001102,0,0.000151886,0,0,0,0,0,0.000213916,0.000152681,8.47E-05,0,0,0,0.000193908,0,0.000283005,0
[Ruminococcus] gnavus,0.000665491,0.001722245,0.000636586,0.001755531,0.001891193,0.000935628,0.000991117,0.000645189,0.002058259,0.002751103,0.001121368,0.000393091,0.001102434,0.001078208,0.001043746,0.007339077,0.002640067,0.001281116,0.000687547,0.003234137,0.000517638,0.000449208,0.000500214,0.000182134,0.002696117,0.00169311,0.002535296,0.000375633,0.001022043,0.000368806,0.000680625,0.004197755,0.000338088,0.000610637,0.002224919,0.002759929,0.000326572,0.000476897,0.002569599,0.000394643,0.000631318,0.004309962,0.00083304,0.000491852,0.000464677,0.000380823,0,0.00076029,0.000852142,0.001859522,0.000379118,0.000591431,0.003079489,0.000945132,0.003498441,0.000371636,0.000511662,0.000677175,0.000601295,0.001148978,0.000658537,0.000715042,0.001661701,0.002818098,0.000622121,0.00044717,0.001209167,0.001355286,0.00126469,0.001475234,0.001002636,0.001525345,0.003259279,0.001071453,0.001642404,0.000795032,0.005119566,0.001733982,0.003931435,0.000460275,0.002369617,0.002990639,0.001342406,0.001097694,0.001204672,0.000589776,0.003914699,0.001015362,0.000912249,0.003968304,0.000529088,0.000546858,0.000837574,0.001328392,0.001918961,0.003514924,0.004390786,0.001083736,0.002784181,0.005806831,0.001803285,0.002860467,0.00071363,0.000567785,0.001280535,0.000499093,0.000652993,0.002846176,0.001230821,0.001645642,0.002239893,0.001949242,0.001764114,0.002389781,0.00314047,0.001026528,0.002108738,0.000581782,0.000723209,0.002150862,0.006221258,0.00098778,0.001446789,0.000915173,0.000887495,0.001487289,0.005205407,0.000373252,0.000865569,0,0.000687187,0.000443419,0.003585465,0.002211402,0.002939811,0.000483348,0.001807321,0.002414013,0.001379336,0.000799862,0.001158231,0.001141335,0.001116537,0.001484508,0.000789947,0.000369258,0.000626733,0.003499637,0.001917631,0.004094897,0.001598326,0.005017865,0.001386839,0.002721621,0.003791717,0.001277204,0.000889257,0.00043804,0.001095762,0.000560984,0.000742814,0.005209791,0.001302859,0.001155693,0.003356675
[Ruminococcus] torques,0.000448619,0.000106684,0.000337144,0,0.000189022,0.00027524,0.001260123,0.000703818,0.000892407,0.000197944,0.000654383,0.000438217,0.00040458,0.000945201,0.000251939,0.000288312,0.000141311,0.000666678,0.000428961,0.000667239,0.000617989,0.000219514,0.001405805,0.000170456,0.000608774,0.000384951,0.000437328,0.000385345,0.000312071,0.000154962,0.000336941,0.000157353,0.00077581,0.000456517,0.000671638,0.001049944,0.00082482,0.00054386,0.000920814,0.000429571,0.000343583,0.00046244,0.000838553,0.000786682,0.000406419,0.000350781,0.000215878,0.000603378,0.00055866,0.000556769,0.00029681,0.000662061,0.001125021,0.000647342,0.000336489,0.000529416,0.000465607,0.000104141,0.000657644,0.000424457,0.000624622,0.000545799,0.000137597,0.000256864,0,0.000743669,0.00048922,0.000318393,0.001238044,0.001005525,0.000485358,0.000140093,0.000457839,0.000323216,0.001085844,0.001302558,0.000979342,0.000211457,0.002792596,0.000354613,0.00041341,0.00029269,0.001180966,0.000798699,0.000695237,0.000753454,0.000491515,0.00037512,0.001164039,0.00037195,0.000330148,0.000197163,0.0005393,0.001724702,0.000667066,0.000175401,0.000463223,0.000387029,0.000463274,0.00036815,0.001114833,0.000554276,0.000802146,0.000668798,0.000559325,0.000304764,0.000399671,0.000934618,0.000344598,0.000470706,0.000207369,0.000603461,0.000122884,0.000199856,0.001082489,0.00022682,0.000541875,0.000646107,0.000630658,0.001050555,0.000374437,0.001339569,0.000469405,0.000751491,0.000842563,0.000860106,0.001020296,0.000163561,0.000343458,0,0.000490093,0.000504543,0.0003304,0.000288591,0.00034903,0.001515147,0.000640551,0.001135906,0.001091296,0.000996963,0.000599548,0.000903257,0.000555222,0.000772079,0.000595012,0.000653037,0.000288012,0.000454411,0.003468328,0.000523229,0,0.000157125,0.000151913,0.000391999,0.003395505,0.000353955,0.000486406,0.000381072,0.000470291,0.000432545,0.002589723,0.000428327,0.000162243,0.00059486,0
Akkermansia muciniphila,0.000315727,0,0,0.002662967,0,7.73E-05,0,0.001649635,0,0.000232011,0.00263028,0,0,0,0,0,0,0,0,0,0,0,0.000253843,0,0,0,0,0,0,0.000399615,0,0.000206034,0,0,0,0,0.000442863,0,0,0,0,0,0.00022749,0,0,0,0,0,0,0,0.001795124,9.86E-05,0.001293454,0,0,0.000198725,0,0.000138116,0,0,0.000759289,0.000120242,0,0,0,0.002005168,0,0.001527272,0,0.000113384,0.000151601,0,0,0,0,0,0,0,0,0.000408041,0,0.000450035,0.000168312,0,0,0,0,0,0,0,0.000860853,0,0,0.000216663,0,0,0,0,0,0.000453932,0,0,0,0,0,0,0.00016511,0,0.00126086,8.75E-05,0,0,0.000111164,0,0,0,0.002261377,0.000144299,0,0,0.000236613,0.000143672,0,0,0,0,0,0.00012433,0,0,0,0.000149827,0,0,7.74E-05,7.30E-05,0,0,0,0,0,0,0,0,0,0.000166705,0,8.88E-05,0,0,0,0,0.001844324,0,0,0,0,0,0,0,0.000144105,0,0,0,0.002931466
Alistipes putredinis,0.007546473,0.000275449,0.000273627,0.000386985,0.000463638,0.005458471,0.000320348,0.009045267,0.00034924,0.000318615,0.000231267,0.00017123,0.000235217,8.83E-05,0.006455864,0,0.000413804,0.000320708,0.005722455,0.000266813,0.002381186,0.003937334,0.007565894,0.000552916,0.000146456,0,0.004978692,0.007455098,0,0.000266264,0.000216149,0,0.006577969,0.003510853,0.000115469,0.000227379,0.000270391,0.004744464,0.000717682,0.001333095,0.000214882,0.000134586,0.007213671,0.007305426,0.004171032,0.000624367,0.00089286,0.002415207,0.000139123,0.000399909,0.000329159,0.000296283,0.007510612,0.00151486,0.006228599,0.000651896,0.006591892,0.000640031,0.005690161,0.005267337,0.007315478,0.003099715,0.000410595,0.00044226,0.00024671,0.005823552,0.003247891,0.010030389,0.002821335,0.005904475,0.006234995,0.004065354,0,0.000254974,0.006143583,0.000447511,0.000577297,0.000283003,0.000216802,7.90E-05,0.004457682,0,0.012249601,0.000653036,0.000574868,0.002010508,0.000309373,0.000411464,0.000530622,0.002410029,0.004365703,0.006632933,0.000153555,0.000132717,0.00011014,0.000676633,0.000394178,0.003250588,9.34E-05,0.000432648,0.00756656,0.000403649,0.005742832,0.000306082,0.000449526,0.005558969,0.000102087,0,8.71E-05,0.000491388,0.000152619,0.000953834,0.000203274,0,0.000318275,0.002834661,0.000180363,0.004680207,0.003412809,0.000175699,0.000154681,0.00081445,0.002648358,0.000724779,0.004206716,0.000584458,0.000269071,0.000221946,0.000336758,0.003801118,0.000526349,0.005564978,0.000875827,0.003137879,0.003266616,0.006287712,8.74E-05,9.53E-05,0.007329932,0.003780791,0.003972986,0.006415299,0.000197554,0.000185538,0.003704439,0.004685847,0.008355539,0.006526077,0.000600428,0.00064369,0.001547747,0.000245946,0.000206029,0.000562929,0,0,0.000104908,0.00048479,0.0024264,0.000195277,0.004594175,0.001837613,0.004348131,0.005508105,0
Anaerobutyricum hallii,0.002638213,0.001185054,0.001654283,0.003639206,0.000832627,0.001324248,0.003793802,0.001655984,0.003481486,0.000721859,0.003609335,0.001361071,0.002165394,6.45E-05,0.004945554,0.000675898,0.003071779,0.002281747,0.000877757,0.000443313,0.001566601,0.00047236,0.000268875,0.004157479,0.002712629,0.00294198,0.001860493,0.002171658,0.001727472,0.002036982,0.002883289,0.000364957,0.003381423,0.001342918,0.005061144,0.000317919,0.001972085,0.002143469,0.001582577,0.001199031,0.004556252,0.000530613,0.001325813,0.003149043,0.004035646,0.002702658,0.001385535,0.002875162,0.004479335,0.002605835,0.001543814,0.003193977,0.000380754,0.002440375,0.00372731,0.001011439,0.002115695,0.001494743,0.004190196,0.000400865,0.002050195,0.002082842,0.002882995,0.00125759,0.000884574,0.001230703,0.001516534,0.000212504,0.003254851,0.001886087,0.002708581,0.002619443,0.003829881,0.001849179,0.003435825,0.000307601,0.000332218,0.004399333,0.001471512,0.003248178,0.000240482,0.002690285,0.001145463,0.001728565,0.002285903,0.002872128,0.000367525,0.001274476,0.003778209,0.002598317,0.001849509,0.003968023,0.000476071,0.00232622,0.002944899,0.000260821,0.000500452,0.002881689,0.003805695,0.000327224,0.0016913,0.000332906,0.001674402,0.000348392,0.001644314,0.001697621,0.002037775,0.00051612,0.001304349,0.000577821,0,0.002001284,0.005077613,0.000341312,0.000540061,0.001919354,0.002450144,0.00293034,0.000975998,0.000424878,0,0.000253033,0.00059586,0.001803557,0.003261458,0.005090744,0.00688832,0.001178198,0.003729751,0.001414424,0.006909173,0.001535418,0.000180514,0.00261368,0.003011433,0.002793588,0.001269746,0.000640869,0.00020322,0.002661298,0.003335262,0.001023043,0.001001749,0.002545656,0.002683659,0.001647811,0.001475852,0.002767892,0.000358185,0.000274451,0,0.000341756,0.002117697,0.002370091,0.001180583,0.003892154,0.003802466,0.000420007,0.001151081,0.004330325,0.001842155,0.002369846,0.001113348,0.001374247,0.000631927
Anaerostipes hadrus,0.003715138,0.004479608,0.000830059,0.006621457,0.000461328,0.002100372,0.000360703,0.001261796,0.003629031,0.000691614,0.005276213,0.004338555,0.0021938,0.000334537,0.005843589,0.0082039,0.003440993,0.00156515,0.000318533,0.007724212,0.001095794,0.000331783,0.000339045,0.003477111,0.00273905,0.005457597,0.004208126,0.001599894,0.004362296,0.00304303,0.004362166,0.000631271,0.008219403,0.002552903,0.008605652,0.002742788,0.001711643,0.002259034,0.004167246,0.001615502,0.003659426,0.000484365,0.001250836,0.001403366,0.000985336,0.003119561,0.001715846,0.003078184,0.009041984,0.003319844,0.001549569,0.004653288,0.000607433,0.003370631,0.001835563,0.000570796,0.003877854,0.002278722,0.003391413,0.001068832,0.00020854,0.000505435,0.003049687,0.000692276,0.001537601,0.003798553,0.001340301,0.001035207,0.003582688,0.001741738,0.001841936,0.009362023,0.00847549,0.003550268,0.005506351,0.000364168,0.000394113,0.006597617,0.003748929,0.004613511,0.005829452,0.005572834,0.000562049,0.00328719,0.004024614,0.002072453,0.010475957,0.001027353,0.003169104,0.003380599,0.001315136,0.004955777,0.001822798,0.007194318,0.005583683,0.00548666,0.000889406,0.003557277,0.006019161,0.000783122,0.002598752,0.005373498,0.003255978,0.000553046,0.000478242,0.00025087,0.001342042,0.007658523,0.007041378,0.005128319,0.000162314,0.003887312,0.00404223,0.000504141,0.002733478,0.006654148,0.000690157,0.001186434,0.00034045,0.00356281,0.000419511,0.002502276,0.000356102,0.001615657,0.003609,0.003080708,0.000926539,0.002361208,0.00619238,0.000969349,0.009364571,0.002510638,0.000508172,0.003221723,0.006571716,0.004101897,0.005230517,0.004455039,0.001183469,0.000764578,0.004506395,0.005166736,0.001142404,0.010079736,0.004382016,0.002681127,0.004554106,0.004853237,0.000791852,0.000702374,0,0.004842625,0.00780777,0.008245815,0,0.002146234,0.007615456,0.004982665,0.007771248,0.00580571,0.003667609,0.005368693,0.008215556,0.002370527,0.008787431
Anaerostipes sp. 494a,0.001487033,0.0019093,0.000535048,0.002239234,0.000226895,0.001168603,0.000551193,0.000986286,0.001930466,0.000433598,0.001946193,0.001718855,0.001393705,-2.67E-05,0.002273571,0.003843789,0.002567671,0.001460736,0.000202539,0.00371681,0.000626232,0.000190859,0.000221099,0.001434208,0.002347904,0.002394745,0.001725617,0.000924089,0.001794297,0.001336396,0.001546014,0.000156188,0.002515723,0.001066276,0.003280629,0.001393105,0.000924838,0.00109076,0.00217933,0.001344933,0.001661091,0.00067487,0.000917495,0.000729516,0.000548446,0.000877959,0.000951189,0.001693046,0.003820368,0.001525811,0.001015296,0.002140471,0,0.001658972,0.001473897,0.00066305,0.001325466,0.001403371,0.001472412,0.000518193,0.000390343,0.000694037,0.001758857,0.000142871,0.001105522,0.001613978,0.00043577,0.000450146,0.00181895,0.000992936,0.001498957,0.003466068,0.003556926,0.001878057,0.001726712,0.000510478,0.000288638,0.002529165,0.001812054,0.002459029,0.001861869,0.002498431,0.000164672,0.001444193,0.001940127,0.001042062,0.003809615,0.00104582,0.001530839,0.002179802,0.001042755,0.002368194,0.000547903,0.003396053,0.001976747,0.002884969,0.000431435,0.001762611,0.002536164,0.000179239,0.001178476,0.002633927,0.00160788,0.000189019,0.000774852,0.000406692,0.00058431,0.002911181,0.002394766,0.002063532,0,0.002290794,0.001910494,0,0.001573394,0.002086034,0.000660782,0.001125707,0.00051734,0.002076165,0.000202125,0.001330442,0.00045379,0.000956964,0.002558329,0.001168693,0.000734972,0.001544567,0.002222854,0,0.003581515,0.001105514,0.000527119,0.002189982,0.001711398,0.001479893,0.002201732,0.001884118,0.000626765,0.001230506,0.001935197,0.002190575,0.001112415,0.003311881,0.001830402,0.001116815,0.001981374,0.002201715,0,0.000492859,0,0.002495213,0.00277025,0.003046765,0,0.001090585,0.003019675,0.001934808,0.002798295,0.002400854,0.001622015,0.00246543,0.002628898,0.001371071,0.003879436
Anaerotignum lactatifermentans,0.000539189,0.000117608,0.000288339,0.000100708,0,0.001941656,0.001376657,0.000740129,0.000136896,0,0.00148542,0.000205855,0.00023998,0.001006499,0.001515685,0,0.000295538,0.003481551,0.001402589,0.001263391,0.000838635,0.000730486,0.000794367,0.001082226,0.000371011,0.000141994,0.000582981,0.000934483,0.000391556,0.000588056,0.000209763,0.000189783,0.000591375,0.000918774,0.00016939,0.002135837,0.000777149,0.000588716,0.000874233,0.000385987,0.000644509,0.002785371,0.00080711,0.000792942,0.0010931,0.000230235,0,0.000166464,0,9.79E-05,0.002184491,0.002236236,0.00111022,0.000384929,0.001066836,0.00119955,0.00078961,0.000135977,0.000277504,0.000996242,0.000588396,0.001446374,0.001041775,0,0.002500627,0.00012054,0.000941952,0.000318106,0.000843136,0.00083082,0.000189235,0.002591685,0,0.000223606,0.002242063,0.000516039,0,0.001003109,0.001559117,0.001123402,0,0.003726894,0.000175491,0.001120983,0.000122559,0.000126585,0.000182212,0.000181703,0.000325206,0.001196767,0.001002551,0.000825321,0.000193823,0.003886299,0.001337905,0.000172293,0,0.001991012,0.000517859,0,0.000590248,0.001926329,0.000751698,0.002953535,0,0.001043087,0,0,0.000326828,0.00079613,0,0.000203484,0.001031537,0.000238014,0.00116154,0.000961238,0.002265919,0.000948098,0.000642386,0.002139198,0,0.003393727,0.005512079,0.000523003,0.000470884,0.00011383,0.003588145,0.00107088,0.000257697,0,0.000275701,0.00069721,0.000922639,0.002417501,0.00062183,0.000758043,0.000779464,0.000133341,0.001115666,0.00115802,0.00093619,0.001181831,0.000966526,0.000993856,0.000754381,0.000504033,0.001052475,0.000773479,0.002880036,0.000802093,0,0,0.001387744,0.000294479,0,0.000163513,0.000257824,0.001127671,0.000641579,0.000233567,0.000907365,0.000495091,0.001206978,0.000693363,0
